"location_id","country","peril","postcode","tiv","sra_adj","deductible","limit"
"LOC001","France","fire",11121,310000,0.9,5000,150000
"LOC002","France","theft",23987,923000,1,10000,552000
"LOC003","France","fire",55648,807000,1.1,5000,650000
"LOC004","France","flood",3100,356000,1,10000,225000
"LOC005","France","flood",97892,119000,1,500,64000
"LOC006","France","theft",57132,105000,1,10000,60000
"LOC007","France","theft",94345,326000,1,500,147000
"LOC008","France","flood",1227,427000,1.1,500,2e+05
"LOC009","France","fire",35360,262000,0.9,5000,182000
"LOC010","France","flood",34965,757000,1,1000,605000
"LOC011","France","flood",44710,128000,1.2,0,50000
"LOC012","France","theft",89201,956000,1,10000,634000
"LOC013","France","theft",60303,184000,1,5000,165000
"LOC014","France","fire",45627,121000,1,1000,97000
"LOC015","France","flood",8012,243000,1,0,126000
"LOC016","France","flood",53104,133000,0.9,500,51000
"LOC017","France","fire",69694,382000,1,1000,268000
"LOC018","France","theft",85185,174000,1,5000,153000
"LOC019","France","flood",42686,527000,1,500,350000
"LOC020","France","theft",14537,140000,1.1,0,110000
"LOC021","France","fire",67669,142000,1,5000,92000
"LOC022","France","flood",40835,182000,1,500,1e+05
"LOC023","France","flood",17112,6e+05,1.1,0,585000
"LOC024","France","theft",14650,267000,1,1000,252000
"LOC025","France","fire",96077,115000,1,1000,51000
