"location_id","country","peril","postcode","tiv","sra_adj","deductible","limit","country_factor","base_rate","base_premium","layer_share","exposure_premium","experience_premium","risk_premium","model_price","total_incurred","n_claim_years","exposure_premium_total","credibility","expenses_factor"
"LOC001","Spain","flood",49705,2770000,1.2,5000,2665000,0.95,0.0012,3789.36,0.96028880866426,3638.88,30136.3747339107,16887.6273669554,21109.5342086942,598416,3,24085.6665,0.5,1.25
"LOC002","Italy","fire",76882,2901000,1,10000,1886000,1.1,0.0015,4786.65,0.646673560841089,3095.4,25635.3972517223,14365.3986258612,17956.7482823264,598416,3,24085.6665,0.5,1.25
"LOC003","France","flood",64421,1737000,1,0,686000,1.05,0.0013,2371.005,0.394933793897524,936.39,7754.96854446606,4345.67927223303,5432.09909029129,598416,3,24085.6665,0.5,1.25
"LOC004","Italy","theft",83081,1711000,1,5000,1554000,1.1,0.0015,2823.15,0.905318527177089,2555.85,21166.9671337515,11861.4085668758,14826.7607085947,598416,3,24085.6665,0.5,1.25
"LOC005","Italy","flood",23047,1086000,1,0,482000,1.1,0.0015,1791.9,0.443830570902394,795.3,6586.49332373675,3690.89666186838,4613.62082733547,598416,3,24085.6665,0.5,1.25
"LOC006","Italy","flood",30577,318000,0.9,0,301000,1.1,0.0015,472.23,0.946540880503145,446.985,3701.82788672259,2074.40644336129,2593.00805420162,598416,3,24085.6665,0.5,1.25
"LOC007","France","flood",38659,1285000,0.9,10000,1183000,1.05,0.0013,1578.6225,0.91284046692607,1441.0305,11934.2861405143,6687.65832025716,8359.57290032145,598416,3,24085.6665,0.5,1.25
"LOC008","France","flood",98648,2172000,0.9,1000,859000,1.05,0.0013,2668.302,0.395027624309392,1054.053,8729.42669101559,4891.73984550779,6114.67480688474,598416,3,24085.6665,0.5,1.25
"LOC009","Italy","flood",36588,1785000,1.2,0,1517000,1.1,0.0015,3534.3,0.849859943977591,3003.66,24875.6274824282,13939.6437412141,17424.5546765176,598416,3,24085.6665,0.5,1.25
"LOC010","Spain","theft",21557,897000,1.1,500,554000,0.95,0.0012,1124.838,0.617056856187291,694.089,5748.28689120976,3221.18794560488,4026.4849320061,598416,3,24085.6665,0.5,1.25
"LOC011","Spain","flood",86659,1086000,1.2,10000,429000,0.95,0.0012,1485.648,0.385819521178637,573.192,4747.04549380022,2660.11874690011,3325.14843362514,598416,3,24085.6665,0.5,1.25
"LOC012","France","theft",69704,1090000,1,0,1002000,1.05,0.0013,1487.85,0.919266055045872,1367.73,11327.228107223,6347.47905361151,7934.34881701439,598416,3,24085.6665,0.5,1.25
"LOC013","Spain","flood",24010,317000,0.9,10000,170000,0.95,0.0012,325.242,0.504731861198738,164.16,1359.53570228169,761.847851140843,952.309813926054,598416,3,24085.6665,0.5,1.25
"LOC014","France","flood",86465,717000,1.1,10000,375000,1.05,0.0013,1076.5755,0.509065550906555,548.0475,4538.80447609785,2543.42598804892,3179.28248506116,598416,3,24085.6665,0.5,1.25
"LOC015","France","theft",66310,1295000,1,0,755000,1.05,0.0013,1767.675,0.583011583011583,1030.575,8534.98724646046,4782.78112323023,5978.47640403779,598416,3,24085.6665,0.5,1.25
"LOC016","Spain","flood",6674,2133000,0.9,500,1355000,0.95,0.0012,2188.458,0.635021097046414,1389.717,11509.3194296284,6449.5182148142,8061.89776851775,598416,3,24085.6665,0.5,1.25
"LOC017","Italy","flood",70968,719000,0.9,1000,401000,1.1,0.0015,1067.715,0.556328233657858,594,4919.37260694031,2756.68630347016,3445.8578793377,598416,3,24085.6665,0.5,1.25
"LOC018","Italy","fire",5634,814000,0.9,500,510000,1.1,0.0015,1208.79,0.625921375921376,756.6075,6266.05085809023,3511.32917904511,4389.16147380639,598416,3,24085.6665,0.5,1.25
