"claim_id","date_of_loss","country","paid","outstanding"
"CL0001",2020-01-21,"Germany",97805,8137
"CL0002",2020-08-23,"France",207073,69092
"CL0003",2020-10-21,"Germany",220199,67155
"CL0004",2021-01-09,"France",24407,23272
"CL0005",2021-06-04,"France",209692,37419
"CL0006",2021-06-14,"Germany",112292,52157
"CL0007",2021-11-21,"Germany",174573,30910
"CL0008",2022-02-28,"France",47295,31860
"CL0009",2022-04-10,"Germany",129578,76207
"CL0010",2022-06-18,"Germany",232828,32525
"CL0011",2022-07-26,"Germany",152213,5858
"CL0012",2022-09-29,"France",229933,58959
"CL0013",2023-03-26,"Germany",193719,57750
"CL0014",2023-05-23,"France",165130,8012
"CL0015",2023-10-18,"Germany",202717,3075
"CL0016",2023-12-12,"France",232416,33412
"CL0017",2024-08-10,"Germany",57828,961
"CL0018",2024-09-21,"Germany",64363,47324
